company,location,dates,job-title,summary,pros,cons,advice-to-mgmt,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,helpful-count,language,cleaned_pros,cleaned_cons,sentiment_label
google,none," Jan 29, 2016",Current Employee - Anonymous Employee,"Software Engineer, Tools and Infrastructure","Very good working environment, smart people, great benefit. Also a very good work - life balance",Starts to become a little bit too big and is more like a big corporation now..,none,5.0,5.0,5.0,5.0,5.0,5.0,0,es,very good working environment smart people great benefit also very good work life balance,start to become little bit too big and is more like big corporation now,POS
google,none," Apr 23, 2015",Current Employee - Anonymous Employee,software engineer,it's a good place. they have great food,too many people and too much boring work,be good and don't be evil lifeis short,5.0,5.0,5.0,5.0,5.0,5.0,0,es,it good place they have great food,too many people and too much boring work,POS
google,none," Mar 26, 2015",Former Employee - Anonymous Employee,Great company,"Fast learning environment, great benefits, had a good time working there",didn't get the attention for my work,none,4.0,4.0,4.0,4.0,4.0,4.0,0,es,fast learning environment great benefit had good time working there,didnt get the attention for my work,POS
google,"Chicago, IL"," Jan 24, 2015",Current Employee - Network Engineer,best experience,great environment wonderful people . I learned a lot from this company.,The company should focus more on the development side of they newly hired employees.,none,5.0,4.0,4.0,4.0,4.0,4.0,1,es,great environment wonderful people i learned lot from this company,the company should focus more on the development side of they newly hired employee,POS
google,"Mountain View, CA"," Sep 27, 2014",Current Employee - Product Manager,Great company to work for,"Amazing culture, free food, smart people, interesting projects, all this while having a huge impact","It is getting a big company - so politics is creeping in, a lot of slack in pockets.","- People want to grow, create opportunities for them. Beyond promotions, what else can the management offer.",5.0,5.0,5.0,4.0,5.0,4.0,2,es,amazing culture free food smart people interesting project all this while having huge impact,it is getting big company so politics is creeping in lot of slack in pocket,POS
google,"Mountain View, CA"," Jul 13, 2014",Former Employee - Web Developer,Positive and challenging.,* Open bottom-up culture. * Never a dull moment.,* Lots of competition from all the very smart coworkers. Promotions are challenging.,none,5.0,4.0,5.0,3.0,5.0,5.0,0,es,open bottomup culture never dull moment,lot of competition from all the very smart coworkers promotion are challenging,NEU
google,none," Mar 3, 2014",Former Employee - Anonymous Employee,awesome,this was a great place,there are no cons at all,none,5.0,5.0,5.0,5.0,5.0,5.0,2,es,this wa great place,there are con at all,POS
google,none," Feb 20, 2014",Former Employee - Anonymous Employee,Admn,Engineers have a great time ! Very innovation focused.,Nothing new coming up that will take on the market like search did.,Doing a good job !,5.0,1.0,5.0,3.0,3.0,4.0,0,es,engineer have great time very innovation focused,nothing new coming up that will take on the market like search did,POS
google,none," Feb 15, 2014",Former Employee - Anonymous Employee,Awesome!,Working at Google was a Great experience,I'd argue that there aren't any cons,none,5.0,5.0,5.0,5.0,4.0,5.0,1,es,working at google wa great experience,id argue that there arent any con,POS
google,"Mountain View, CA"," Oct 12, 2012",Former Employee - Software Engineer,Initial team assignment will make or break you,"Pay, benefits, prestige. Could be worth a try.","Company growing too big, still hard to move around regardless.",none,4.0,2.0,4.0,3.0,4.0,3.0,0,es,pay benefit prestige could be worth try,company growing too big still hard to move around regardless,POS
google,"Boulder, CO"," Jul 21, 2012",Former Employee - Senior Software Engineer,"If you're an engineer, it's pretty sweet.",Excellent salary / benefits / perks. Super smart people. Challenging projects. You learn a TON working here.,"If you're in a remote office (outside MTV), it can be hard to make lateral moves in your career.",Just because someone is fragmented does not mean they aren't productive. There should be some kind of appeal process to keep remote people on teams.,5.0,5.0,5.0,4.0,5.0,4.0,3,es,excellent salary benefit perk super smart people challenging project you learn ton working here,if youre in remote office outside mtv it can be hard to make lateral move in your career,POS
google,none," Nov 18, 2018",Current Employee - Anonymous Employee,Good to work for obviously,Had a great time there,Wasn't paid enough money there,none,5.0,5.0,5.0,5.0,5.0,5.0,0,es,had great time there,wasnt paid enough money there,POS
google,Taipei (Taiwan)," Nov 20, 2018",Current Employee - Designer,Not bad.,Having a Start-up work environment. Free work-time. We can work remote if you ask your manager or boss.,"Product team only have one designer, one back-end engineer and one product manager. It's unreasonable for a normal company.",none,4.0,4.0,4.0,4.0,3.0,3.0,0,es,having startup work environment free worktime we can work remote if you ask your manager or bos,product team only have one designer one backend engineer and one product manager it unreasonable for normal company,NEU
google,Warsaw (Poland)," Jun 24, 2018",Current Employee - Design Director,Great place to grow,"Great projects, values, honesty, good culture, travels. Not a bad money either","Cant recall much of it. Its demanding, you have to be good",More interesting projects abroad would be great,5.0,5.0,5.0,5.0,5.0,5.0,0,es,great project value honesty good culture travel not bad money either,cant recall much of it it demanding you have to be good,POS
google,Dhaka (Bangladesh)," May 16, 2018",Current Employee - Python Developer,good job opportunity,a good workings place there,to be happy a clients,give some opportunity to developing country students like bangladesh who are interests to work here,5.0,5.0,5.0,5.0,5.0,5.0,0,es,good working place there,to be happy client,POS
google,"Dublin, Co. Dublin (Ireland)"," Jun 14, 2018",Former Employee - Account Manager,Account manager,"big company, you can learn a lot.",Big company you are a number and not aperson,"Try to be better not just to show to the people, be yourself!",1.0,2.0,1.0,1.0,3.0,1.0,3,es,big company you can learn lot,big company you are number and not aperson,POS
google,none," May 23, 2018",Current Employee - Anonymous Employee,Sales Manager,Great company culture Great people Learn a lot,Hard to move up Micromanagement sometimes Long hours,"Look around you, it isn't the loudest people who work the hardest -",4.0,2.0,4.0,4.0,5.0,3.0,0,es,great company culture great people learn lot,hard to move up micromanagement sometimes long hour,POS
google,"London, England (UK)"," Jan 4, 2018",Former Employee - Software Engineer,Good place to learn software engineering,"Perks, smart people, you'll learn a lot","Not many interesting projects, especially outside Mountain View",none,5.0,4.0,4.0,3.0,4.0,4.0,5,es,perk smart people youll learn lot,not many interesting project especially outside mountain view,POS
google,none," Dec 4, 2017",Current Employee - Anonymous Employee,IT´s cool,"get money, a fare amount i think",to far away from home,none,5.0,none,none,none,none,none,0,es,get money fare amount i think,to far away from home,NEU
google,none," Oct 18, 2017",Former Employee - Anonymous Employee,Good work/life balance,google has a nice culture,there aren't many cons tbh,none,5.0,none,none,none,none,none,0,es,google nice culture,there arent many con tbh,POS
google,none," Oct 7, 2017",Former Employee - Anonymous Employee,The best,V e r y g o o d c o m p a n y t o w o r k,N o r t h i n g to s a y a n y c o n s .,none,5.0,5.0,5.0,5.0,5.0,5.0,0,es,v r g d c m p n t w r k,n r t h i n g to s n c n s,NEU
google,none," Sep 16, 2017",Former Employee - Anonymous Employee,Software Engineer,can really learn a lot here,soft environment and good condition,none,5.0,5.0,4.0,5.0,5.0,5.0,0,es,can really learn lot here,soft environment and good condition,POS
google,none," Jul 12, 2017",Current Employee - Anonymous Employee,Awesome place to work,Awesome food Treat you as a King,No Pressure in sales from managers but it gets inbuilt,none,5.0,none,none,none,none,none,0,es,awesome food treat you a king,pressure in sale from manager but it get inbuilt,POS
google,"Dublin, Co. Dublin (Ireland)"," Jul 6, 2017",Current Employee - Associate Account Strategist,My Time at Google was Amazing,Organic growth can be a bit hectic since they have more than 60K employees now,Amazing people and even more amazing environment,keep pushing,5.0,4.0,5.0,3.0,5.0,5.0,0,es,organic growth can be bit hectic since they have more than k employee now,amazing people and even more amazing environment,NEU
google,none," Jul 10, 2017",Former Employee - Anonymous Employee,Great,Had a great time working here,Sometimes didn't have a great time working here,none,4.0,none,none,none,none,none,0,es,had great time working here,sometimes didnt have great time working here,POS
google,"Gurgaon, Haryana (India)"," Dec 28, 2016",Former Employee - Intern,It was very good experiance,i have learned a lot,There is no cons in google,Nothing... All is going fantastic,5.0,5.0,5.0,5.0,5.0,5.0,0,es,i have learned lot,there is con in google,POS
google,none," Nov 20, 2016",Former Employee - Anonymous Employee,Strategy and Operations,"Wonderfully, smart, motivated people who encourage a balanced work/life.",Very political. No 360 feedback for managers.,none,4.0,4.0,3.0,1.0,4.0,2.0,0,es,wonderfully smart motivated people who encourage balanced worklife,very political feedback for manager,POS
google,Taipei (Taiwan)," Nov 2, 2016","Current Employee - Consultant, Market Research",Work as a contractor in Google Taipei,"Awesome colleagues, can express your ideas, can learn a lot",Didn't feel anything bad until now,none,5.0,5.0,5.0,4.0,5.0,4.0,0,es,awesome colleague can express your idea can learn lot,didnt feel anything bad until now,POS
google,"London, England (UK)"," Nov 2, 2016",Current Employee - Intern,good,its a multicultural environment or working,the expect the highest result from you,none,4.0,4.0,5.0,4.0,3.0,2.0,0,es,it multicultural environment or working,the expect the highest result from you,NEU
google,"Dublin, Co. Dublin (Ireland)"," May 28, 2016",Former Employee - Anonymous Employee,Local Data Evaluator,Learning a lot from them,too much pressure and unfair bonus process,Improve internal tool to measure performance,2.0,2.0,4.0,5.0,4.0,1.0,1,es,learning lot from them,too much pressure and unfair bonus process,POS
google,none," Dec 21, 2015",Current Employee - Anonymous Employee,Awesome,Awesome Great Stunning Helpful Learnt a lot,Not much cons. Many interns.,none,5.0,none,none,none,none,none,0,es,awesome great stunning helpful learnt lot,not much con many intern,POS
google,none," Sep 8, 2015",Current Employee - Anonymous Employee,Intern,Has a good work life balance.,Free food keeps adding weight.,none,5.0,none,none,none,none,none,0,es,good work life balance,free food keep adding weight,POS
google,Mexico City (Mexico)," Sep 4, 2015",Former Employee - Bilingual Web Content Analyst,Great opportunities,They are very good at keeping a team going.,They terminated my contract because of my pregnancy.,none,3.0,5.0,5.0,5.0,2.0,5.0,1,es,they are very good at keeping team going,they terminated my contract because of my pregnancy,POS
google,none," Apr 7, 2015",Current Employee - Anonymous Employee,Best Company ever,Never had a better work life balance or perks,Very competitive and you compete with the best,none,5.0,5.0,5.0,4.0,5.0,4.0,0,es,never had better work life balance or perk,very competitive and you compete with the best,NEU
google,none," Feb 23, 2015",Current Employee - Anonymous Employee,"Amazing, great environment, able to test new things",You can make a difference,Can be very demanding if you are not up to it.,none,5.0,3.0,5.0,5.0,5.0,4.0,0,es,you can make difference,can be very demanding if you are not up to it,POS
google,none," Feb 26, 2015",Current Employee - Anonymous Employee,Best company I've ever worked for,"Benefits, peers, mentors, smart people, great ideas, a constant challenge, fun, perks, remuneration package, environment.","super demanding, competitive, highly political, many roles could be seen as 'cog in a wheel' - hard to understand impact. work life balance.",Becoming quite hierarchical. Getting slower. Harder to change things. Over reporting.,4.0,2.0,4.0,4.0,5.0,4.0,0,es,benefit peer mentor smart people great idea constant challenge fun perk remuneration package environment,super demanding competitive highly political many role could be seen a cog in wheel hard to understand impact work life balance,POS
google,"Dublin, Co. Dublin (Ireland)"," Feb 2, 2015",Current Employee - Brand Specialist,Great company with some pretty crappy jobs,"Company culture, geo mobility opportunities after a few years, great colleagues, work-life balance, exciting tech future.","Mediocre senior managers, uncompetitive base salaries compared to companies with which Google competes for talent, extremely vague/frustrating promotion process compared to other companies,",none,4.0,5.0,4.0,4.0,3.0,5.0,0,es,company culture geo mobility opportunity after few year great colleague worklife balance exciting tech future,mediocre senior manager uncompetitive base salary compared to company with which google competes for talent extremely vaguefrustrating promotion process compared to other company,POS
google,Hyderabad (India)," Oct 28, 2014",Former Employee - AdWords Account Manager,Great place to learn and grow,Work-life balance challenge opportunities within a specific area,Didn't feel driven Cross functional opportunities,none,5.0,5.0,5.0,4.0,5.0,4.0,0,es,worklife balance challenge opportunity within specific area,didnt feel driven cross functional opportunity,NEU
google,Hyderabad (India)," Apr 26, 2014",Former Employee - Analyst,The best office culture and friendly environment ever seen.,"Relaxing job, Stressing handling job, Can have a break when ever feel a bit stressed, Do have stress busters games.",A bit of annoying arguments between the employees of different vendors. But healthy comversations,Perks and Increments from the vendors are not satisfactory. But would be appreciated if can b increased more.,5.0,5.0,5.0,4.0,5.0,5.0,1,es,relaxing job stressing handling job can have break when ever feel bit stressed do have stress buster game,bit of annoying argument between the employee of different vendor but healthy comversations,NEU
google,none," Dec 27, 2013",Current Employee - Interaction Designer,It's amazing to be able to work with other amazing people.,Have a comfortable work space.,There isn't anything that has been bothering me.,none,5.0,4.0,4.0,5.0,5.0,4.0,1,es,have comfortable work space,there isnt anything that been bothering,POS
google,Hyderabad (India)," Apr 6, 2013",Current Employee - Manager,One of the best company to work for,Values people. Has a clear mission statement,Internally competitive as most of the employees are smart,Keep doing the great job,5.0,5.0,5.0,5.0,5.0,5.0,0,es,value people clear mission statement,internally competitive a most of the employee are smart,NEU
google,none," Aug 8, 2011",Current Employee - Business Analyst,Great,Its a fun environment there.,Too little order at Google.,none,5.0,5.0,none,5.0,5.0,5.0,0,es,it fun environment there,too little order at google,NEU
google,none," Jan 4, 2017",Current Employee - Anonymous Employee,Controller,Travailler dans un esprit de famille avec une culture riche ou il est possible de grandir à l'international et il s'agit d'un endroit avec une conciliation travaille famille importante,Il s'agit d'une entreprise avec beaucoup trop d'échelon ce qui peut causer des lenteurs dans la résolution de problèmes.,L'équipe de gestion est présente et tu peux contacter n'importe lequel des niveaux hiérarchiques et il est facile d'obtenir des conseils.,5.0,5.0,2.0,5.0,5.0,5.0,1,es,travailler dans esprit famille avec une culture riche ou il est possible grandir linternational et il sagit dun endroit avec une conciliation travaille famille importante,il sagit dune entreprise avec beaucoup trop déchelon ce qui peut causer de lenteurs dans résolution problmes,NEU
google,"Los Angeles, CA"," Feb 19, 2016",Former Employee - Développeur,Parfait!,"Tres acceuillant, salaire interressant, collègues tres sympa, l'entreprise est a la hauteur de sa réputation, rien a reprocher je suis ravi de mon poste!","Rien a signaler tout est nickel, j'aime mon poste et je ne le cederais pour rien au monde. Entierement satisfait, c'est tout ce que je voulais!",none,5.0,4.0,5.0,5.0,5.0,5.0,0,es,tres acceuillant salaire interressant collgues tres sympa lentreprise est hauteur sa réputation rien reprocher je suis ravi mon poste,rien signaler tout est nickel jaime mon poste et je ne cederais pour rien au monde entierement satisfait cest tout ce je voulais,NEU
google,Paris (France)," Nov 24, 2018",Former Employee - Partner Manager,Un parmi beaucoup,"Bon niveau de technologie, des collègues intéressant","Noté dans la masse, peu de liberté d'innover car la stratégie vient de Mountain View",none,4.0,4.0,2.0,5.0,5.0,2.0,0,es,bon niveau technologie de collgues intéressant,noté dans masse peu liberté dinnover car stratégie vient mountain view,POS
google,none," Nov 6, 2018",Former Employee - Anonymous Employee,Review,"Open, innovatief, salaris, cultuur en collegas","Jong, lange uren, soms meer feedback",none,5.0,none,none,none,none,none,0,es,open innovatief salaris cultuur collegas,jong lange uren som meer feedback,NEU
google,Anderlues (Belgium)," Nov 14, 2018",Former Employee - Gérant de restaurant,Hôreca,"Travailler à son nom, comprendre notre équipe que nous fondons, voir sa clientèle s’epanouir, ..",Très dure d’etre Indépendant avec la vie actuelle (administratif),none,4.0,2.0,4.0,3.0,4.0,4.0,0,es,travailler nom comprendre notre équipe nous fondons voir sa clientle sepanouir,trs dure detre indépendant avec vie actuelle administratif,NEU
google,"Saint-Ghislain, Hainaut (Belgium)"," Oct 21, 2018",Former Employee - Technicien,conditons,aucun avantages interesant a voir,aucun inconvenients a déclarer bonne entreprise,none,4.0,4.0,4.0,2.0,4.0,4.0,0,es,aucun avantages interesant voir,aucun inconvenients déclarer bonne entreprise,POS
google,Paris (France)," Jul 27, 2018",Former Employee - Industry Manager,Industry Manager,"De superbes équipes, des gens brillants avec qui il est agréable d'évoluer","Dans certains cas, un manque de connaissance ""métier"" des secteurs d'activités adressés",Renforcer la connaissance métier des secteurs adressés,4.0,4.0,3.0,4.0,5.0,5.0,0,es,superbes équipes de gen brillants avec qui il est agréable dévoluer,dans certains ca manque connaissance métier de secteurs dactivités adressés,POS
google,none," Jul 25, 2018",Former Employee - Anonymous Employee,"Belle entreprise dans l'ensemble, beaucoup trop de politique","Tous les perks, les collègues, l'environnement, Work Hard Play Hard, la culture de l'entreprise lorsqu'elle est respectée, les possibilités d'évolution quand on y entre tôt plus difficile ensuite, possibilité d'évolution à l'étranger, l'accès à la formation, etc.","Culture pas toujours respectée, beaucoup de politiques en interne bien plus récompensée que la méritocratie, RH, fuite de certains des meilleurs éléments en externe car manque de reconnaissance ou de possibilité d'évolution et l'entreprise ne cherche pas à les retenir. Organisation de plus en plus pyramidale avec management recruté en externe, ce qui est frustrant pour beaucoup de salariés. Parfois, mauvais équilibre ou répartition des tâches, certains éléments sont sous pression et vont droit au burn out, tandis que d'autres sont en vitesse de croisière - - et obtiennent promotion et honneurs... Ce qui doit être commun à toute entreprise mais s'avère décevant pour celle-ci qui semble très soucieuse de son image RH.",Adapter la culture ou s'assurer que celle-ci soit pérenne. Ne pas hésiter à se débarasser des éléments néfastes à l'entreprise et à certaines équipes (harcèlement par ex ou autre). Réduire la politique. Promouvoir les employés ayant des vélléites de management et qui en prouvent les capactités.,4.0,2.0,4.0,4.0,5.0,3.0,0,es,tous perk collgues lenvironnement work hard play hard culture lentreprise lorsquelle est respectée possibilités dévolution quand on tt plus difficile ensuite possibilité dévolution létranger laccs formation etc,culture pa toujours respectée beaucoup politiques interne bien plus récompensée méritocratie rh fuite certains de meilleurs éléments externe car manque reconnaissance ou possibilité dévolution et lentreprise ne cherche pa retenir organisation plus plus pyramidale avec management recruté externe ce qui est frustrant pour beaucoup salariés parfois mauvais équilibre ou répartition de tches certains éléments sont sou pression et vont droit au burn out tandis dautres sont vitesse croisire et obtiennent promotion et honneurs ce qui doit tre commun toute entreprise mais savre décevant pour celleci qui semble trs soucieuse image rh,NEU
google,Paris (France)," Jul 12, 2018",Former Employee - Client Partner,Google Paris: administratif et politique,"Un bon niveau de salaire, une bonne situation géographique en plein coeur de Paris, une position de leader.","Les lourdeurs administratives perturbent le travail au quotidien, on passe la plupart de son temps à faire du reporting. Une entreprise très politique: Pour évoluer, il est plus important de ""briller"" en interne que de bien faire son travail avec ses clients.",none,2.0,2.0,3.0,3.0,5.0,2.0,1,es,bon niveau salaire une bonne situation géographique plein coeur paris une position leader,lourdeurs administratives perturbent travail au quotidien on passe plupart temp faire du reporting une entreprise trs politique pour évoluer il est plus important briller interne bien faire travail avec s client,POS
google,Paris (France)," May 19, 2018",Current Employee - Senior Sales Manager,"très bon employeur, très bonne ambiance, mais... un trop de politique.","Collègues très smart, ambiance collaborative, respect des autres, salaires attractifs, beaucoup d'avantages autres que le salaire.","Pour évoluer il faut faire beaucoup (trop) de politique. La méritocratie n'est pas toujours au rendez-vous, plus particulièrement en ce qui concerne les roles commerciaux.","Management trop orienté sur l'interne (reporting, contrôle, process...) et pas assez sur le monde externe. Exposition trop importante au micro-management.",4.0,3.0,4.0,2.0,4.0,3.0,1,es,collgues trs smart ambiance collaborative respect de autres salaires attractifs beaucoup davantages autres salaire,pour évoluer il faut faire beaucoup trop politique méritocratie nest pa toujours au rendezvous plus particulirement ce qui concerne role commerciaux,POS
google,Paris (France)," Mar 28, 2018",Former Employee - Product Marketing Manager,Cool attitude et belles personnes,La meilleure entreprise du monde,Ne pas travailler plus dans les beaux locaux de Paris,none,5.0,5.0,5.0,5.0,5.0,5.0,0,es,meilleure entreprise du monde,ne pa travailler plus dans beau locaux paris,POS
google,Paris (France)," Mar 28, 2018",Current Employee - ingénieur avant-vente,Startup Mondialisée,Googlers Culture d'entreprise Conditions de travail Mesure de la performance à 360,Equilibre Pro/Perso Charge de travail Changement d'objectifs contants,none,5.0,1.0,4.0,5.0,4.0,4.0,0,es,googlers culture dentreprise condition travail mesure performance,equilibre properso charge travail changement dobjectifs contants,NEU
google,Paris (France)," Feb 21, 2018",Former Employee - Rich Media Technical Specialist,Une superbe expérience dans un cadre stimulant,- Culture Googley - Accès aux produits en beta - Un grand compte qui lutte pour conserver son esprit Startup - Grande confiance accordée aux salariés dés le début,"- Tendance à la Mono-culture, restez ouvert",none,4.0,4.0,5.0,5.0,4.0,4.0,0,es,culture googley acc aux produits beta grand compte qui lutte pour conserver esprit startup grande confiance accordée aux salariés dés début,tendance monoculture restez ouvert,POS
google,Paris (France)," Dec 29, 2017",Current Employee - Software Engineer,Un très bonne expérience pour mon premier poste.,"Le salaire est compétitif. Les équipes sont jeunes, compétentes, internationales et motivées. L'environnement de travail est confortable. La formation interne est de grande qualité.",Les équipes françaises sont parfois isolées du cœur américain de l'entreprise. Les ingénieurs sont poussés vers l'indépendance mais peu vers le management.,none,5.0,5.0,4.0,4.0,5.0,5.0,2,es,salaire est compétitif équipes sont jeunes compétentes internationale et motivées lenvironnement travail est confortable formation interne est grande qualité,équipes franaises sont parfois isolées du cur américain lentreprise ingénieurs sont poussés vers lindépendance mais peu vers management,POS
google,none," Nov 13, 2017",Current Employee - Anonymous Employee,Super boite,nettoyer l'historique pour bien en profiter sinon c'est dommage,surveillance renforcée sans contrepartie sur la garantie des libertés individuelles,Continuer comme ça mais faites attention aux nombreux piratages qui menacent,4.0,none,none,none,none,none,3,es,nettoyer lhistorique pour bien profiter sinon cest dommage,surveillance renforcée sans contrepartie sur garantie de libertés individuelles,NEU
google,"Dublin, Co. Dublin (Ireland)"," Sep 29, 2017",Former Employee - Anonymous Employee,Senior Strategist,- Grote impact op samenleving - Veel mogelijkheden op carrièreprogressie en rollen met verantwoordelijkheid - Erg goede omkadering,"Hoge werkdruk, eigen aan de natuur van de organisatie.",none,5.0,3.0,5.0,5.0,5.0,4.0,0,es,grote impact op samenleving veel mogelijkheden op carrireprogressie rollen met verantwoordelijkheid erg goede omkadering,hoge werkdruk eigen aan natuur van organisatie,NEU
google,Paris (France)," Aug 30, 2017",Current Employee - Anonymous Employee,Mission that matters,"Cadre de travail, rapidité, épanouissement",Manque parfois de structure dans l'execution,make it happen with Google Cloud,5.0,4.0,5.0,4.0,5.0,5.0,0,es,cadre travail rapidité épanouissement,manque parfois structure dans lexecution,NEU
